Temperature_F,Is_Rain_Or_Snow,Is_Busy,Item,Predicted_Price
49.822774825337056,0,1,Rasam,5.319864802083095
49.822774825337056,0,1,Sambar,5.334688959115888
49.822774825337056,0,1,Mulligatawny Soup,2.5552815002457248
49.822774825337056,0,1,Garden Salad,5.328062429803961
49.822774825337056,0,1,Tomato Soup,5.227777061890203
49.822774825337056,0,1,Katchumber Salad,4.032362173282259
49.822774825337056,0,1,Idly,3.7440403453888615
49.822774825337056,0,1,Podi Idly,6.060139198628234
49.822774825337056,0,1,Medu Vada,5.085629362183395
49.822774825337056,0,1,Combo,4.843723815105651
49.822774825337056,0,1,Dahi Vada,4.53236298730172
49.822774825337056,0,1,Batata Vada,2.6445910305834217
49.822774825337056,0,1,Samosa,2.867906420103458
49.822774825337056,0,1,Dahi Bhalla,6.844304679265143
49.822774825337056,0,1,Veg Fried Rice,8.419222654421906
49.822774825337056,0,1,Chinese Dosa,10.909704481841235
49.822774825337056,0,1,Sada Dosa,6.787408269874387
49.822774825337056,0,1,Masala Dosa,7.822341204360824
49.822774825337056,0,1,Butter Sada Dosa,5.934610834608515
49.822774825337056,0,1,Butter Masala Dosa,10.504088645849263
49.822774825337056,0,1,Ghee Roast,10.731971637739564
49.822774825337056,0,1,Mysore Masala Dosa,7.695101659033886
49.822774825337056,0,1,Set Dosa,10.540381534702673
49.822774825337056,0,1,Mushroom Masala Dosa,10.049937611273059
49.822774825337056,0,1,Paneer Masala Dosa,11.273210800918365
49.822774825337056,0,1,Spinach Masala Dosa,10.698223111117297
49.822774825337056,0,1,Pondicherry Masala Dosa,7.314809039111019
49.822774825337056,0,1,Cheese Sada Dosa,12.364455674673055
49.822774825337056,0,1,Onion Rava Masala Dosa,12.768109053696577
49.822774825337056,0,1,Coconut Rava Masala Dosa,7.659543078138913
49.822774825337056,0,1,Chana Masala,6.295952723340038
49.822774825337056,0,1,Palak Paneer,6.790764586518858
49.822774825337056,0,1,Paneer Tikka Masala,15.07919603005835
49.822774825337056,0,1,Kadai Paneer,14.352338080477336
49.822774825337056,0,1,Malai Kofta,8.356286100200577
49.822774825337056,0,1,Bhindi Masala,12.632418248223896
49.822774825337056,0,1,Egg Plant Curry,8.613142692245196
49.822774825337056,0,1,Pongal,10.452554695943533
49.822774825337056,0,1,Avial,13.963132590122799
49.822774825337056,0,1,South Indian Thali,8.996822985354608
49.822774825337056,0,1,North Indian Thali,14.70047655571867
49.822774825337056,0,1,Paratha,5.337541972739168
49.822774825337056,0,1,Poori,5.196513680449729
49.822774825337056,0,1,Lemon Rice,5.677581585356566
49.822774825337056,0,1,Coconut Rice,9.918937411704796
49.822774825337056,0,1,Yogurt Rice,6.668671732048654
49.822774825337056,0,1,Gulab Jamun,5.896633801304936
49.822774825337056,0,1,Rasamalai,2.7294697333892546
49.822774825337056,0,1,Badam Halwa,4.496906565043334
49.822774825337056,0,1,Sprite,2.0131693302792133
48.00607270628326,0,0,Rasam,5.2652542894366166
48.00607270628326,0,0,Sambar,5.072517970193618
48.00607270628326,0,0,Mulligatawny Soup,4.171294195524883
48.00607270628326,0,0,Garden Salad,5.1293264591290795
48.00607270628326,0,0,Tomato Soup,3.9759636614706473
48.00607270628326,0,0,Katchumber Salad,4.555238196792442
48.00607270628326,0,0,Idly,6.243434794029808
48.00607270628326,0,0,Podi Idly,7.48078812212601
48.00607270628326,0,0,Medu Vada,5.878707084360535
48.00607270628326,0,0,Combo,5.8495027811636575
48.00607270628326,0,0,Dahi Vada,4.8079753498487925
48.00607270628326,0,0,Batata Vada,4.099696652488844
48.00607270628326,0,0,Samosa,4.178377273938546
48.00607270628326,0,0,Dahi Bhalla,6.10656670348391
48.00607270628326,0,0,Veg Fried Rice,8.405864045641563
48.00607270628326,0,0,Chinese Dosa,10.841189830353377
48.00607270628326,0,0,Sada Dosa,8.79935967433345
48.00607270628326,0,0,Masala Dosa,10.49889715266882
48.00607270628326,0,0,Butter Sada Dosa,9.454833456485206
48.00607270628326,0,0,Butter Masala Dosa,8.460445004869957
48.00607270628326,0,0,Ghee Roast,8.882488255498485
48.00607270628326,0,0,Mysore Masala Dosa,10.132470546865775
48.00607270628326,0,0,Set Dosa,7.699475792854066
48.00607270628326,0,0,Mushroom Masala Dosa,11.590332898339613
48.00607270628326,0,0,Paneer Masala Dosa,11.939428471464476
48.00607270628326,0,0,Spinach Masala Dosa,9.928155635236795
48.00607270628326,0,0,Pondicherry Masala Dosa,11.508375769404024
48.00607270628326,0,0,Cheese Sada Dosa,9.544026802024238
48.00607270628326,0,0,Onion Rava Masala Dosa,12.707592242195977
48.00607270628326,0,0,Coconut Rava Masala Dosa,10.9938186717754
48.00607270628326,0,0,Chana Masala,13.033780709787619
48.00607270628326,0,0,Palak Paneer,11.81983572134267
48.00607270628326,0,0,Paneer Tikka Masala,14.122315675454104
48.00607270628326,0,0,Kadai Paneer,10.532749234089728
48.00607270628326,0,0,Malai Kofta,12.848093351739292
48.00607270628326,0,0,Bhindi Masala,12.908889711942173
48.00607270628326,0,0,Egg Plant Curry,12.508013422871958
48.00607270628326,0,0,Pongal,9.429575764860216
48.00607270628326,0,0,Avial,12.400345089190555
48.00607270628326,0,0,South Indian Thali,16.31915831884267
48.00607270628326,0,0,North Indian Thali,17.50404836369465
48.00607270628326,0,0,Paratha,4.399313070189996
48.00607270628326,0,0,Poori,4.187428784160945
48.00607270628326,0,0,Lemon Rice,8.738122736154633
48.00607270628326,0,0,Coconut Rice,8.56582281885069
48.00607270628326,0,0,Yogurt Rice,8.695183065943832
48.00607270628326,0,0,Gulab Jamun,4.54626245833878
48.00607270628326,0,0,Rasamalai,4.356151345066325
48.00607270628326,0,0,Badam Halwa,5.820745570049072
